Time,DGS1MO
20140509 ,0.02
20140512 ,0.02
20140513 ,0.03
20140514 ,0.02
20140515 ,0.01
20140516 ,0.01
20140519 ,0.01
20140520 ,0.04
20140521 ,0.04
20140522 ,0.03
20140523 ,0.04
20140526 ,.
20140527 ,0.03
20140528 ,0.04
20140529 ,0.05
20140530 ,0.05
20140602 ,0.04
20140603 ,0.04
20140604 ,0.04
20140605 ,0.03
20140606 ,0.02
20140609 ,0.03
20140610 ,0.04
20140611 ,0.03
20140612 ,0.02
20140613 ,0.02
20140616 ,0.03
20140617 ,0.03
20140618 ,0.03
20140619 ,0.01
20140620 ,0.01
20140623 ,0.02
20140624 ,0.01
20140625 ,0.01
20140626 ,0.01
20140627 ,0.02
20140630 ,0.02
20140701 ,0.03
20140702 ,0.02
20140703 ,0.01
20140704 ,.
20140707 ,0.02
20140708 ,0.02
20140709 ,0.03
20140710 ,0.02
20140711 ,0.02
20140714 ,0.02
20140715 ,0.02
20140716 ,0.02
20140717 ,0.02
20140718 ,0.03
20140721 ,0.02
20140722 ,0.03
20140723 ,0.03
20140724 ,0.04
20140725 ,0.03
20140728 ,0.03
20140729 ,0.03
20140730 ,0.03
20140731 ,0.01
20140801 ,0.01
20140804 ,0.02
20140805 ,0.03
20140806 ,0.03
20140807 ,0.03
20140808 ,0.03
20140811 ,0.03
20140812 ,0.05
20140813 ,0.04
20140814 ,0.04
20140815 ,0.03
20140818 ,0.02
20140819 ,0.04
20140820 ,0.04
20140821 ,0.03
20140822 ,0.04
20140825 ,0.02
20140826 ,0.04
20140827 ,0.02
20140828 ,0.02
20140829 ,0.02
20140901 ,.
20140902 ,0.02
20140903 ,0.02
20140904 ,0.02
20140905 ,0.02
20140908 ,0.01
20140909 ,0.01
20140910 ,0.01
20140911 ,0.01
20140912 ,0.01
20140915 ,0.01
20140916 ,0.01
20140917 ,0.01
20140918 ,0.01
20140919 ,0.01
20140922 ,0
20140923 ,0.01
20140924 ,0.01
20140925 ,0
20140926 ,0.01
20140929 ,0.01
20140930 ,0.02
20141001 ,0.01
20141002 ,0.01
20141003 ,0.01
20141006 ,0.01
20141007 ,0.02
20141008 ,0.01
20141009 ,0.02
20141010 ,0.02
20141013 ,.
20141014 ,0.03
20141015 ,0.02
20141016 ,0.04
20141017 ,0.03
20141020 ,0.03
20141021 ,0.04
20141022 ,0.04
20141023 ,0.02
20141024 ,0.02
20141027 ,0.03
20141028 ,0.02
20141029 ,0.01
20141030 ,0.01
20141031 ,0.01
20141103 ,0.03
20141104 ,0.04
20141105 ,0.04
20141106 ,0.04
20141107 ,0.04
20141110 ,0.04
20141111 ,.
20141112 ,0.05
20141113 ,0.05
20141114 ,0.04
20141117 ,0.02
20141118 ,0.04
20141119 ,0.04
20141120 ,0.04
20141121 ,0.04
20141124 ,0.04
20141125 ,0.06
20141126 ,0.06
20141127 ,.
20141128 ,0.04
20141201 ,0.01
20141202 ,0.04
20141203 ,0.03
20141204 ,0.03
20141205 ,0.02
20141208 ,0.03
20141209 ,0.05
20141210 ,0.05
20141211 ,0.02
20141212 ,0.02
20141215 ,0.02
20141216 ,0.03
20141217 ,0.03
20141218 ,0.04
20141219 ,0.01
20141222 ,0.01
20141223 ,0.02
20141224 ,0.01
20141225 ,.
20141226 ,0.01
20141229 ,0.01
20141230 ,0.03
20141231 ,0.03
20150101 ,.
20150102 ,0.02
20150105 ,0.02
20150106 ,0.02
20150107 ,0.02
20150108 ,0.01
20150109 ,0.02
20150112 ,0.02
20150113 ,0.02
20150114 ,0.02
20150115 ,0.03
20150116 ,0.02
20150119 ,.
20150120 ,0.01
20150121 ,0.01
20150122 ,0.02
20150123 ,0.02
20150126 ,0.02
20150127 ,0.02
20150128 ,0.02
20150129 ,0.01
20150130 ,0.01
20150202 ,0.01
20150203 ,0.02
20150204 ,0.01
20150205 ,0.02
20150206 ,0.01
20150209 ,0.02
20150210 ,0.02
20150211 ,0.02
20150212 ,0.02
20150213 ,0.02
20150216 ,.
20150217 ,0.02
20150218 ,0.02
20150219 ,0.02
20150220 ,0.02
20150223 ,0.01
20150224 ,0.02
20150225 ,0.02
20150226 ,0.02
20150227 ,0.02
20150302 ,0.02
20150303 ,0.01
20150304 ,0.01
20150305 ,0.02
20150306 ,0.02
20150309 ,0.01
20150310 ,0.03
20150311 ,0.03
20150312 ,0.03
20150313 ,0.03
20150316 ,0.02
20150317 ,0.05
20150318 ,0.02
20150319 ,0.02
20150320 ,0
20150323 ,0.02
20150324 ,0.03
20150325 ,0.02
20150326 ,0.02
20150327 ,0.02
20150330 ,0.02
20150331 ,0.05
20150401 ,0.02
20150402 ,0.02
20150403 ,0.04
20150406 ,0.02
20150407 ,0.02
20150408 ,0.02
20150409 ,0.02
20150410 ,0.01
20150413 ,0.02
20150414 ,0.02
20150415 ,0.02
20150416 ,0.03
20150417 ,0.03
20150420 ,0.03
20150421 ,0.02
20150422 ,0.01
20150423 ,0.01
20150424 ,0.03
20150427 ,0.01
20150428 ,0
20150429 ,0
20150430 ,0
20150501 ,0
20150504 ,0.01
20150505 ,0.01
20150506 ,0.02
20150507 ,0.01
20150508 ,0.01
20150511 ,0.02
20150512 ,0.01
