Date,FPA,FPXI,IQDE,IQDY,CHIQ,GEM,ADRA,PAF,IEMG,HEEM,AXJV,EMGF,ACWX,AAXJ,EEMA,AIA,IPOS,CWI,QEMM,MOTI,REMX,VEU,VXUS,AXJL,EMCG,XSOE,DNL,IHDG,DBAP
2016/1/25,0.01907922,-0.003397028,0.04335425,0.031897034,0.001017294,0.0529274,-0.005267779,-0.06541555,0.056029233,0.055911474,0.0223653,0.039857651,0.039315726,0.036668876,0.038604651,0.028659736,-0.018048505,0.037293349,0.057364729,0.048588616,0.004020101,0.039623164,0.041446674,0.030861456,0.047828823,0.032220944,0.051001821,0.039068994,-0.045680238
2016/2/1,-0.02195122,-0.027956989,-0.011481684,-0.020218579,-0.034658512,-0.013857845,-0.036860364,-0.04253497,-0.009889471,-0.013400335,-0.003313453,-0.005475702,-0.021732831,-0.013330467,-0.013098464,-0.012389868,0,-0.021933086,-0.007923169,0,0.026838966,-0.023510553,-0.019093686,-0.007118205,-0.030630631,-0.02528241,-0.024039653,-0.043373494,-0.02148847
2016/2/8,-0.002942413,-0.026208766,-0.010722348,-0.020489471,0.01626898,-0.016047685,-0.026039287,0.006138556,-0.010714286,-0.014293882,-0.016954787,-0.02512044,-0.010262602,-0.004856512,-0.009034051,-0.00112835,-0.00670323,-0.008517228,-0.001956469,0,-0.025145068,-0.009754738,-0.01321004,-0.001762891,-0.003097893,-0.016556291,-0.007751938,-0.012870013,0.00374933
2016/2/16,0.009909166,0.020188425,0.016797312,0.024858757,0.025614754,0.013661202,0.014473089,0.001160766,0.009433962,0.00731982,0.027730808,0.036710201,0.011648746,0.004768097,0.008924485,0.00357241,0,0.011481056,0.00723589,0.020072993,0.031589339,0.011579818,0.01153947,0.031125828,0,0.015367728,0.018646232,0.014780405,0.023809524
2016/2/22,-0.018036072,-0.006541648,-0.017429194,-0.016402406,-0.040816327,-0.026071586,-0.018279091,0.000285551,-0.028799544,-0.018082192,-0.004606779,-0.033044059,-0.011942907,-0.022170608,-0.023820125,-0.017421603,0,-0.012336449,-0.020369937,0,0.04567079,-0.012378902,-0.01,-0.025699958,-0.035756155,0,-0.017773389,-0.00533224,-0.015503876
2016/2/29,0.057142857,0.038478356,0.045629467,0.069483046,0.050658561,0.069369369,0.07429086,-0.022575977,0.080081538,0.065848214,0.031735537,0.036264112,0.058614565,0.072871883,0.061725614,0.068523069,0.029620853,0.058845862,0.057190318,0.069320215,0.132854578,0.057634526,0.060566675,0.072575466,0.080143541,0.060785368,0.063440321,0.028192371,-0.034120735
2016/3/7,0.011969112,0.022794428,0.015231092,0.015072765,0.006776379,0.013918178,0.014749263,0.052117264,0.013239665,0.007911392,0.007689843,0.019148234,0.017337808,0.010698426,0.008701188,0.016477858,0.028193326,0.01722282,-0.003112494,-0.010455876,-0.022393822,0.01678719,0.016691213,0.006993007,0.012735327,0.014198783,-0.005421971,0.008924949,0.013691417
2016/3/14,0.026133743,0.006517312,0.018087855,-0.015873016,0.018216683,0.027580443,0.00788709,-0.029920395,0.030083266,0.017791732,0.033510805,-0.001619695,0.010198456,0.026442308,0.026193494,0.029426687,0.001119194,0.012393768,0.026227303,0.016333197,-0.006394884,0.011719745,0.011893204,0.022093949,0.014076881,0,0.01300813,-0.008003201,-0.012800819
2016/3/20,-0.014194994,-0.013731826,nan,nan,-0.031686859,-0.01902834,-0.027481542,0.065365025,-0.021044427,-0.015337423,-0.010350076,-0.031982942,-0.01965602,-0.016959064,-0.020291043,-0.017305315,0,-0.019594122,-0.018126228,-0.030534351,-0.035087719,-0.018877423,-0.020129403,nan,-0.014407684,0.011,nan,nan,0.029958678
2016/3/28,0.003029156,0.011812627,0.00981405,0.014025974,0.026011561,0.024834437,-0.006278778,0.002346806,0.020095188,0.005711319,0.004553734,0.02435217,0.003878116,0.016065054,0.014797832,0.011528822,0.015342466,0.004969826,0.021608376,-0.004856333,0.050538525,0.003571429,0.002429543,0.010153295,0.031943692,0.019782394,0.019306816,-0.004444444,0
