ETF,Sharp-Omega,S_Rank,ASKSR-Value,A_Rank,Riskiness,R_Rank
FPA,1.191266,29,18.74949311,12,0.012032,24
FPXI,1.680224,6,18.52673767,14,2.19751E-05,13
IQDE,1.367341,25,21.48498913,4,2.25454E-05,14
IQDY,1.68861,4,25.94961609,2,1.64775E-06,1
CHIQ,1.502871,18,15.51259132,26,0.000755157,22
GEM,1.535936,16,16.9972229,21,1.55924E-05,11
ADRA,1.60525,7,21.90055194,3,-,-
PAF,1.411269,22,20.2090751,8,2.28907E-05,15
IEMG,1.593653,9,17.30911687,20,9.75195E-06,9
HEEM,1.538975,15,31.38060001,1,2.57344E-06,2
AXJV,1.291698,28,16.07720021,24,0.00850906,23
EMGF,1.56381,13,17.41024929,18,3.78258E-05,17
ACWX,1.467374,19,19.43672474,11,4.69466E-06,6
AAXJ,1.570686,12,17.31454667,19,3.81884E-05,18
EEMA,1.60337,8,16.72941199,23,3.33309E-05,16
AIA,1.775134,1,20.81698656,6,0.000019462,12
IPOS,1.304544,27,15.9186108,25,0.000416891,20
CWI,1.584798,10,18.10928411,16,0.999971,26
QEMM,1.697129,3,17.94880184,17,-,-
MOTI,1.437105,21,16.92724422,22,0.000066922,19
REMX,1.309678,26,14.40261809,29,-,-
VEU,1.505482,17,18.30193331,15,3.54309E-06,3
VXUS,1.456981,20,19.47215987,10,8.29868E-06,8
AXJL,1.68656,5,21.15206023,5,0.999837,25
EMCG,1.3771,24,14.63884998,28,0.000508297,21
XSOE,1.739528,2,14.81034794,27,1.25577E-05,10
DNL,1.58229,11,20.17408637,9,4.43489E-06,5
IHDG,1.400029,23,20.67383106,7,0.000005086,7
DBAP,1.551789,14,18.62501285,13,3.61174E-06,4
